Day	Month	Year
21	1	2013
28	12	2013
4	2	2013
11	2	2013
18	2	2013
25	2	2013
4	3	2013
11	3	2013
18	3	2013
25	3	2013
1	4	2013
8	4	2013
15	4	2013
22	4	2013
29	4	2013
6	5	2013
13	5	2013
20	5	2013
27	5	2013
3	6	2013
10	6	2013
17	6	2013
24	6	2013
1	7	2013
8	7	2013
15	7	2013
22	7	2013
29	7	2013
5	8	2013
12	8	2013
19	8	2013
26	8	2013
2	9	2013
9	9	2013
16	9	2013
23	9	2013
30	9	2013
7	10	2013
14	10	2013
21	10	2013
28	10	2013
4	11	2013
11	11	2013
18	11	2013
25	11	2013
2	12	2013
9	12	2013
16	12	2013
23	12	2013
30	12	2013
6	1	2014
13	1	2014
20	1	2014
27	1	2014
3	2	2014
10	2	2014
17	2	2014
24	2	2014
3	3	2014
10	3	2014
17	3	2014
24	3	2014
31	3	2014
7	4	2014
14	4	2014
21	4	2014
28	4	2014
5	5	2014
12	5	2014
19	5	2014
26	5	2014
2	6	2014
9	6	2014
16	6	2014
23	6	2014
30	6	2014
7	7	2014
14	7	2014
21	7	2014
28	7	2014
4	8	2014
11	8	2014
18	8	2014
25	8	2014
1	9	2014
8	9	2014
15	9	2014
22	9	2014
29	9	2014
6	10	2014
13	10	2014
20	10	2014
27	10	2014
3	11	2014
10	11	2014
17	11	2014
24	11	2014
1	12	2014
8	12	2014
15	12	2014
22	12	2014
29	12	2014
5	1	2015
12	1	2015
19	1	2015
26	1	2015
2	2	2015
9	2	2015
16	2	2015
23	2	2015
2	3	2015
9	3	2015
16	3	2015
23	3	2015
30	3	2015
6	4	2015
13	4	2015
20	4	2015
27	4	2015
4	5	2015
11	5	2015
18	5	2015
25	5	2015
1	6	2015
8	6	2015
15	6	2015
22	6	2015
29	6	2015
6	7	2015
13	7	2015
20	7	2015
27	7	2015
3	8	2015
10	8	2015
17	8	2015
24	8	2015
31	8	2015
7	9	2015
14	9	2015
21	9	2015
28	9	2015
5	10	2015
12	10	2015
19	10	2015
26	10	2015
2	11	2015
9	11	2015
16	11	2015
23	11	2015
30	11	2015
7	12	2015
14	12	2015
21	12	2015
28	12	2015
4	1	2016
11	1	2016
18	1	2016
25	1	2016
1	2	2016
8	2	2016
15	2	2016
22	2	2016
29	2	2016
7	3	2016
14	3	2016
21	3	2016
28	3	2016
4	4	2016
11	4	2016
18	4	2016
25	4	2016
2	5	2016
9	5	2016
16	5	2016
23	5	2016
30	5	2016
6	6	2016
13	6	2016
20	6	2016
27	6	2016
4	7	2016
11	7	2016
18	7	2016
25	7	2016
1	8	2016
8	8	2016
15	8	2016
22	8	2016
29	8	2016
5	9	2016
